,title,rating,pick_or_not,byline,headline,pub_date,open_date
19,My Bloody Valentine,R,0,JEANNETTE CATSOULIS,Watch Out for That Pickax; It’s Hurtling From the Screen,2009-01-16,2009-01-16
20,The Pervert's Guide to Cinema,,1,STEPHEN HOLDEN,Sometimes Groucho’s Cigar Is Not Just a Cigar,2009-01-15,2009-01-16
21,Ballerina,,0,NATHAN LEE,Inside Dancing,2009-01-15,
22,The Sublet,,0,NATHAN LEE,An Elderly Loner Seeks Distraction,2009-01-15,2009-01-16
23,Paul Blart: Mall Cop,PG,0,NATHAN LEE,A Hapless Security Guard Runs Amok,2009-01-15,2009-01-16
24,Notorious,R,0,A. O. SCOTT,"A Rapper’s Tale, Larger Than Life",2009-01-15,2009-01-16
25,Hotel for Dogs,PG,0,STEPHEN HOLDEN,A Tale of Love and Liberation (Puppy and Otherwise),2009-01-15,2009-01-16
26,Cherry Blossoms: Hanami,Not Rated,0,A. O. SCOTT,Insights Arrive at the End of a Life,2009-01-15,
27,Chandni Chowk to China,PG-13,0,RACHEL SALTZ,A Kung Fu Extravaganza,2009-01-15,2009-01-16
28,Testament: The Bible in Animation - Jonah,,0,NATHAN LEE,"In Mozambique, a Road to Self-Discovery",2009-01-13,2009-01-14
29,Mock Up on Mu,,0,MANOHLA DARGIS,Star Log: Trippy Sci-Fi Mash-Up Alert!,2009-01-13,2009-01-14
30,Yonkers Joe,R,0,STEPHEN HOLDEN,"Playing at Life With Dad’s Loaded Dice, at Home and in Las Vegas",2009-01-08,2009-01-09
31,The Unborn,PG-13,0,MANOHLA DARGIS,"Mengele, the Holocaust and Horror Movie Staples",2009-01-08,2009-01-09
32,Just Another Love Story,,0,STEPHEN HOLDEN,Something Forgotten in an Eerie Denmark,2009-01-08,
33,Not Easily Broken,PG-13,0,A. O. SCOTT,Under the Microscope: A Marriage Sorely Tested,2009-01-08,2009-01-09
34,Bride Wars,PG,0,MANOHLA DARGIS,Two Weddings and a Furor,2009-01-08,2009-01-09
35,Cargo 200,,1,JEANNETTE CATSOULIS,Bad Soviet Memories Keep on Curdling,2009-01-01,
36,Good,R,0,STEPHEN HOLDEN,"Aligning With the Nazis, Blindfold Tightly in Place",2008-12-30,
37,Defiance,R,0,A. O. SCOTT,"A Society in the Forest, Banding Together to Escape Persecution",2008-12-30,2009-01-16
38,Revolutionary Road,R,0,MANOHLA DARGIS,"Two Faces in the Crowd, Raging Against the Crab Grass",2008-12-25,2009-01-23
39,Pageant,,0,NATHAN LEE,"There She Is, Miss ... Well, Actually, It’s Mr.",2008-12-25,2008-12-26
40,Waltz with Bashir,R,0,A. O. SCOTT,Inside a Veteran’s Nightmare,2008-12-25,
41,The Curious Case of Benjamin Button,PG-13,1,A. O. SCOTT,It’s the Age of a Child Who Grows From a Man,2008-12-24,2008-12-25
42,Valkyrie,PG-13,0,MANOHLA DARGIS,Mission Imperative: Assassinate the Führer,2008-12-24,2008-12-25
43,The Spirit,PG-13,0,A. O. SCOTT,"Returned From the Dead, Ducking Villains and Vixens",2008-12-24,2008-12-25
44,Marley & Me,PG,0,STEPHEN HOLDEN,Going to the Dog and Getting a Life,2008-12-24,2008-12-25
45,Last Chance Harvey,PG-13,0,MANOHLA DARGIS,"The Clock You Hear? It’s Not Big Ben, Buddy",2008-12-24,2009-01-16
46,Bedtime Stories,PG,0,JEANNETTE CATSOULIS,"Once Upon a Time, There Was a Resentful Handyman Who Agreed to Baby-Sit",2008-12-24,2008-12-25
47,The Secret of the Grain,Not Rated,1,A. O. SCOTT,"Humble Souls, Richly Nourished",2008-12-23,
48,Theater of War,,1,MANOHLA DARGIS,Mother Courage Gets Her Own Camp Follower,2008-12-23,
49,"Moscow, Belgium",,1,STEPHEN HOLDEN,The Pursuit of Happiness Is a Complicated Affair,2008-12-18,
50,Yes Man,PG-13,0,A. O. SCOTT,"Nowhere Man, Listen Up: You Have to Stop Saying No",2008-12-18,2008-12-19
51,The Tale of Despereaux,G,0,MANOHLA DARGIS,"Killer Soup, and a Mouse to the Rescue",2008-12-18,2008-12-19
52,Seven Pounds,PG-13,0,A. O. SCOTT,An I.R.S. Do-Gooder and Other Strangeness,2008-12-18,2008-12-19
53,The Wrestler,R,1,A. O. SCOTT,"Hard Knocks, Both Given and Gotten",2008-12-16,2009-01-30
54,Scott Walker: 30 Century Man,,0,STEPHEN HOLDEN,A Pop Star in Pursuit of the Primal,2008-12-16,
55,Nothing But the Truth,R,0,MANOHLA DARGIS,Outed Agent and Reporter Go Toe to Toe,2008-12-16,
56,Rab Ne Bana Di Jodi,,0,RACHEL SALTZ,Forlorn Husband Makes the Right Moves,2008-12-12,2008-12-12
57,Gran Torino,R,1,MANOHLA DARGIS,"Hope for a Racist, and Maybe a Country",2008-12-11,2009-01-09
58,What Doesn't Kill You,R,1,MANOHLA DARGIS,Trapped in South Boston: Tough Guys,2008-12-11,
59,Timecrimes,R,0,JEANNETTE CATSOULIS,"Time Marches Backward, Determination Forward",2008-12-11,
60,In the City of Sylvia,Not Rated,0,NATHAN LEE,"The Geometry of Desire, and the Hunt",2008-12-11,
61,Where God Left His Shoes,,0,STEPHEN HOLDEN,"At Christmas, Seeking Shelter From the Storm",2008-12-11,
62,The Alphabet Killer,R,0,JEANNETTE CATSOULIS,Murder by the Letter,2008-12-11,
63,While She Was Out,R,0,JEANNETTE CATSOULIS,"Kim Basinger, Pursued on All Fronts",2008-12-11,
64,The Day the Earth Stood Still,PG-13,0,A. O. SCOTT,"It’s All Over, Earthlings (Don’t Flee to New Jersey)",2008-12-11,2008-12-12
65,Nothing Like the Holidays,PG-13,0,STEPHEN HOLDEN,Seasonal Sentiment With Latin Flavoring,2008-12-11,2008-12-12
66,Doubt,PG-13,0,MANOHLA DARGIS,"Between Heaven and Earth, Room for Ambiguity",2008-12-11,2008-12-25
67,Delgo,PG,0,JEANNETTE CATSOULIS,Something Rotten in the State of Jhamora (Ask Freddie Prinze Jr.),2008-12-11,2008-12-12
68,Dark Streets,R,0,NATHAN LEE,A Moody Musical,2008-12-11,
69,Che: Part Two,Not Rated,0,A. O. SCOTT,Saluting the Rebel Underneath the T-Shirt,2008-12-11,2009-01-24
70,Adam Resurrected,R,0,STEPHEN HOLDEN,"Treated Like a Dog, in War and Madness",2008-12-11,2008-12-12
71,Wendy and Lucy,R,1,A. O. SCOTT,This (New) American Life,2008-12-09,
72,The Reader,R,0,MANOHLA DARGIS,Innocence Is Lost in Postwar Germany,2008-12-09,2009-01-30
73,Frost/Nixon,R,0,MANOHLA DARGIS,"Mr. Frost, Meet Mr. Nixon",2008-12-05,2009-01-23
74,Cadillac Records,R,1,A. O. SCOTT,Got Their Musical Mojo Working,2008-12-04,2008-12-05
75,Nobel Son,R,0,MANOHLA DARGIS,"Kidnapping, Suicide and Other Family Matters",2008-12-04,2008-12-05
76,Ciao,R,0,MANOHLA DARGIS,Two Lives After Death,2008-12-04,
77,Let Them Chirp Awhile,,0,NATHAN LEE,Young New Yorkers With Old Ideas,2008-12-04,2008-12-05
78,Punisher: War Zone,R,0,A. O. SCOTT,A Comic-Book Avenger Strikes,2008-12-04,2008-12-05
79,The Black Balloon,PG-13,0,STEPHEN HOLDEN,Autistic Son Reveals Family Shame and Strength,2008-12-04,
80,Dust,,0,A. O. SCOTT,"Awe, Revulsion and Affection for Those Particles Unto Which Thou Shalt Return",2008-12-02,2008-12-03
81,The End of America,,0,STEPHEN HOLDEN,When Laws and Liberties Test Each Other’s Limits,2008-12-02,2008-12-03
82,Antarctica,R,0,JEANNETTE CATSOULIS,Lust and Disaffection in Tel Aviv,2008-11-27,
83,Milk,R,1,A. O. SCOTT,Freedom Fighter in Life Becomes Potent Symbol in Death,2008-11-26,2009-01-30
84,The Secrets,R,0,STEPHEN HOLDEN,When Faith Meets Feminism,2008-11-25,2008-11-26
85,Transporter 3,,0,MANOHLA DARGIS,"Clothes Make the Man, and Sometimes Improve His Fight",2008-11-25,2008-11-26
86,Four Christmases,PG-13,0,A. O. SCOTT,Two Unmerrymakers in a Grueling Land of Social Awfulness,2008-11-25,2008-11-26
87,Australia,PG-13,0,MANOHLA DARGIS,Oh Give Me a Home Where the Cowboys and Kangaroos Roam,2008-11-25,2008-11-26
88,Were the World Mine,Not Rated,1,STEPHEN HOLDEN,"Puck’s Love Potion, Splashed Across Town",2008-11-20,
89,Special,,0,NATHAN LEE,"Going Bonkers, Superhero Style",2008-11-20,
90,Twilight,PG-13,0,MANOHLA DARGIS,The Love That Dare Not Bare Its Fangs,2008-11-20,2008-11-21
91,I Can't Think Straight,PG-13,0,JEANNETTE CATSOULIS,Love Beyond Boundaries,2008-11-20,2008-11-01
92,Lake City,R,0,STEPHEN HOLDEN,"Suds, Southern Scenery and Fistfuls of Weaponry",2008-11-20,
93,Bolt,PG,0,A. O. SCOTT,Canine TV Action Star Discovers That Life Is the Best Reality Show,2008-11-20,2008-11-21
94,The Betrayal,,0,A. O. SCOTT,Convulsions of a Family and an Abandoned Country,2008-11-20,2008-11-21
95,Harvard Beats Yale 29-29,PG,1,MANOHLA DARGIS,"Back in 1968, When a Tie Was No Tie",2008-11-18,2008-11-19
96,A Christmas Tale,Not Rated,1,A. O. SCOTT,"Ah, Home for the Holidays and Extra Helpings of Family Dysfunction",2008-11-13,2008-11-21
97,Eden,,1,JEANNETTE CATSOULIS,The Common Wounds of a Neglected Marriage,2008-11-13,
98,The Dukes,PG-13,0,STEPHEN HOLDEN,Rotten Tomatoes,2008-11-13,2008-11-14
99,How About You (Movie),,0,STEPHEN HOLDEN,"Ready for a Spring Thaw: Bickering, Controlling Old Folks With Frozen Souls",2008-11-13,
100,We Are Wizards,,0,MANOHLA DARGIS,"Even After the Books, Pottermania Rocks On",2008-11-13,2008-11-14
101,War Child,PG-13,0,NEIL GENZLINGER,From Child Soldier to Hip-Hop Artist,2008-11-13,2008-11-14
102,The Beautiful Truth,Not Rated,0,NATHAN LEE,The Evils of the Medical-Industrial Complex,2008-11-13,
103,House of the Sleeping Beauties,,0,JEANNETTE CATSOULIS,Lonely Old Men and Drugged Young Virgins,2008-11-13,2008-11-14
104,Quantum of Solace,PG-13,0,A. O. SCOTT,"007 Is Back, and He’s Brooding",2008-11-13,2008-11-14
105,Slumdog Millionaire,R,0,MANOHLA DARGIS,Orphan’s Lifeline Out of Hell Could Be a Game Show in Mumbai,2008-11-11,2008-12-25
106,Role Models,R,0,STEPHEN HOLDEN,Those Darn Kidults! The Menace of Eternal Youth,2008-11-07,2008-11-07
107,"Otto; or, Up with Dead People",Not Rated,1,NATHAN LEE,Straddling the Line Between Art and Smut,2008-11-06,
108,The World Unseen,PG-13,0,JEANNETTE CATSOULIS,Racial Oppression and Lesbian Longing,2008-11-06,
109,The Guitar,R,0,STEPHEN HOLDEN,Shopping a Life Away,2008-11-06,
110,Soul Men,R,0,A. O. SCOTT,Reunited for a Road Trip and an R&B Curtain Call,2008-11-06,2008-11-07
111,Repo! The Genetic Opera,R,0,NATHAN LEE,Playing the Organs,2008-11-06,
112,Pray the Devil Back to Hell,Not Rated,0,MANOHLA DARGIS,"Unsung Heroines of Liberia, Making Guns Yield to Words",2008-11-06,
113,The Boy in the Striped Pajamas,PG-13,0,MANOHLA DARGIS,Horror Through a Child’s Eyes,2008-11-06,2008-11-26
114,Madagascar: Escape 2 Africa,,0,MANOHLA DARGIS,Duck! The Penguins Are Flying the Plane,2008-11-06,2008-11-07
115,JCVD,R,0,A. O. SCOTT,"It’s All About Him, No Matter Who He Claims to Be",2008-11-06,
116,Gardens of the Night,R,0,STEPHEN HOLDEN,Predators and Young Prey in a World Gone Sinister,2008-11-06,
117,Stages,,0,A. O. SCOTT,Intimate Table Talk for All to Ponder,2008-11-04,2008-11-05
118,The Haunting of Molly Hartley,PG-13,0,JEANNETTE CATSOULIS,"Beware of the Darkness, and Those Ugly Clothes",2008-10-31,2008-10-31
119,Zack and Miri Make a Porno,R,0,By . A. O. SCOTT,"Skin Flick? Nah, It’s a Love Story",2008-10-31,2008-10-31
120,The Matador,,1,JEANNETTE CATSOULIS,All the Life Surrounding Death in the Afternoon,2008-10-30,
121,One Day You'll Understand,,0,A. O. SCOTT,In Search of Family History Despite the Threat of Pain,2008-10-30,
122,Monks: The Transatlantic Feedback,,0,NATHAN LEE,United by Shared Ambivalence,2008-10-30,2008-10-31
123,My Name is Bruce,R,0,STEPHEN HOLDEN,The Evil Dumb,2008-10-30,
124,Splinter,R,0,A. O. SCOTT,"Night of the Living Spastic, Ravenous Porcupine Flesh-Eaters",2008-10-30,
125,Dear Zachary: A Letter to a Son About His Father,Not Rated,0,STEPHEN HOLDEN,A Provocative Story of Loss,2008-10-30,
126,Run For Your Life,,0,A. O. SCOTT,Tale of a Marathon and Its Guiding Hand,2008-10-28,2008-10-29
127,The First Basket,Not Rated,0,NATHAN LEE,Immigrant Hoop Dreams,2008-10-28,2008-10-01
128,Saw V,R,0,NATHAN LEE,"Grand Guignol, by Way of the Tool Shed",2008-10-24,2008-10-24
129,Roadside Romeo,PG,0,RACHEL SALTZ,"Bollywood: Often Energetic, Now Animated",2008-10-24,
130,Passengers,PG-13,0,STEPHEN HOLDEN,Lost Luggage Is the Least of Their Worries,2008-10-24,2008-10-24
131,I've Loved You So Long,PG-13,1,A. O. SCOTT,A Broken Soul Wandering Aimlessly on the Long Path to Redemption,2008-10-23,2009-02-20
132,"Synecdoche, New York",R,1,MANOHLA DARGIS,"Dreamer, Live in the Here and Now",2008-10-23,2008-11-21
133,Let the Right One In,R,1,MANOHLA DARGIS,"Pale Boy and Pale Vampire in a Still, Wintry Landscape",2008-10-23,2008-12-12
134,Zidane,,0,MANOHLA DARGIS,Portrait of the Artist as a Global Soccer Star,2008-10-23,
135,The Gay Bed & Breakfast of Terror,,0,NATHAN LEE,Campy Chills,2008-10-23,0000-00-00
136,Saving Marriage,PG-13,0,JEANNETTE CATSOULIS,A Legal Tussle for Civil Rights,2008-10-23,2006-06-15
137,News From Home/News From House,,0,NEIL GENZLINGER,Life Inside,2008-10-23,2008-10-24
138,The Universe of Keith Haring,,0,NATHAN LEE,An Artist With Enthusiasm,2008-10-23,
139,Ben X,Not Rated,0,JEANNETTE CATSOULIS,Peer Cruelty and Parental Frustration,2008-10-23,
140,The Soviet Story,,0,NEIL GENZLINGER,Atrocities Magnified,2008-10-23,2008-10-24
141,Pride and Glory,R,0,A. O. SCOTT,"A Band of Loyal Brothers, Not All of Them Honorable",2008-10-23,2008-10-24
142,Noah's Arc: Jumping the Broom,R,0,ANDY WEBSTER,Gay Wedding Bells,2008-10-23,2008-10-24
143,Dalton Trumbo's Johnny Got His Gun,,0,LAURA KERN,An Antiwar Play on Film,2008-10-23,
144,High School Musical 3: Senior Year,G,0,STEPHEN HOLDEN,"Omigosh, Real Guys Love Sports and Musical Theater",2008-10-23,2008-10-24
145,Changeling,R,0,A. O. SCOTT,"A Boy Gone, a Mother Scorned",2008-10-23,2008-10-31
146,Stranded: I've Come From a Plane That Crashed in the Mountains,Not Rated,1,STEPHEN HOLDEN,When Survival Hinged on Team Spirit,2008-10-21,2008-10-22
147,Fear(s) of the Dark,Not Rated,1,JEANNETTE CATSOULIS,"From Fertile Sketchpads, Anxious Tales and Terrors",2008-10-21,
148,The Princess of Nebraska,,0,A. O. SCOTT,"A Tour of the Bay Area’s Immigrant Demimonde, Available on YouTube",2008-10-18,
149,W.,PG-13,1,MANOHLA DARGIS,"Oliver Stone’s Vision Thing: Bush, the Family",2008-10-16,2008-10-17
150,Tru Loved,R,0,NATHAN LEE,A High School Student With a Beard,2008-10-16,
151,Mary,Not Rated,0,STEPHEN HOLDEN,There’s Something About Mary Magdalene,2008-10-16,
152,Morning Light,PG,0,JEANNETTE CATSOULIS,"Sparkling Seascapes and Shiny, Happy Faces",2008-10-16,
153,Good Dick,R,0,JEANNETTE CATSOULIS,A Standoff Between Longing and Denial,2008-10-16,
154,The Elephant King,R,0,NATHAN LEE,Dysfunctional Americans Abroad,2008-10-16,
155,Azur & Asmar,PG,0,NATHAN LEE,A Middle Eastern Animated Tale,2008-10-16,
156,What Just Happened?,R,0,A. O. SCOTT,"A Satirical Look at Hollywood Lives, Viewed Through a Cynical Lens",2008-10-16,2008-10-31
157,Who Does She Think She Is?,,0,JEANNETTE CATSOULIS,The Competing Demands of Muse and Family,2008-10-16,
158,Max Payne,PG-13,0,A. O. SCOTT,"A Lone Avenger, Jampacked With Righteous Anger",2008-10-16,2008-10-17
159,Flashbacks of a Fool,R,0,JEANNETTE CATSOULIS,Scot. Joe Scot.,2008-10-16,2008-10-17
160,Filth and Wisdom,Not Rated,0,MANOHLA DARGIS,Stripping and Other Noble Pursuits,2008-10-16,
161,Sex Drive,R,0,MANOHLA DARGIS,Public Displays of Hormonally Charged Desperation,2008-10-16,2008-10-17
162,Not Your Typical Bigfoot Movie,,0,LAURA KERN,Two Friends With Tall Tales,2008-10-16,2008-10-17
163,The Secret Life of Bees,PG-13,0,A. O. SCOTT,A Golden Dollop of Motherly Comfort,2008-10-16,2008-10-17
164,FrontRunners,,0,STEPHEN HOLDEN,"Running for Office, With Class",2008-10-14,
165,Quarantine,R,0,JEANNETTE CATSOULIS,Infection’s Bad Symptoms,2008-10-10,2008-10-10
166,Happy-Go-Lucky,R,1,MANOHLA DARGIS,The Upside of Seeing the Bright Side,2008-10-09,2008-11-21
167,Talento de Barrio,R,0,NEIL GENZLINGER,Aspirations That Go Beyond Gangsterism,2008-10-09,2008-10-10
168,Breakfast With Scot,PG-13,0,STEPHEN HOLDEN,Gay Jock Meets Girlie-Boy and Bonding Is Awkward,2008-10-09,
169,La Leon,Not Rated,0,NATHAN LEE,Seeking a Connection in a Barren Place,2008-10-09,2008-10-10
170,Choose Connor,Not Rated,0,JEANNETTE CATSOULIS,Politically Incorrect,2008-10-09,
171,Nights and Weekends,Not Rated,0,NATHAN LEE,The Gulf Between Persona and True Self,2008-10-09,2008-10-10
172,Body of Lies,R,0,A. O. SCOTT,"Big Stars Wielding an Array of Accents, Fighting the War on Terrorism",2008-10-09,2008-10-10
173,The Express,PG,0,A. O. SCOTT,"The Football Formula: Take One Hero, Add Emotion, Watch Him Overcome",2008-10-09,2008-10-10
174,City of Ember,PG,0,STEPHEN HOLDEN,"Fleeing a Dying Civilization, Toward Hope and Sunlight",2008-10-09,2008-10-10
175,Delwende,,1,JEANNETTE CATSOULIS,"In Burkina Faso, Rebellion Stirs",2008-10-07,2008-10-08
176,RocknRolla,R,0,MANOHLA DARGIS,"Guns N’ Poses: Thugs, Drugs and Style in Shady London",2008-10-07,2008-10-31
177,An American Carol,PG-13,0,NATHAN LEE,Comic Right-Wing Broadside (Very Broad),2008-10-03,2008-10-03
178,The Pleasure of Being Robbed,,0,LAURA KERN,Stealing Glances,2008-10-03,2008-10-03
179,Rachel Getting Married,R,1,A. O. SCOTT,"Out of Rehab, Wreaking Havoc",2008-10-02,2008-11-07
180,Nick & Norah's Infinite Playlist,PG-13,0,A. O. SCOTT,"For Muddled Youth, Music to Live By",2008-10-02,2008-10-03
181,How to Lose Friends & Alienate People,R,0,MANOHLA DARGIS,A Guide to Burning Your Bridges,2008-10-02,2008-10-03
182,Humboldt County,R,0,STEPHEN HOLDEN,Waiting to Inhale on the Lost Coast,2008-10-02,2008-09-26
183,Tokyo Gore Police,Not Rated,0,JEANNETTE CATSOULIS,Splatter Matters,2008-10-02,2008-10-03
184,Flash of Genius,PG-13,0,STEPHEN HOLDEN,An Everyman Inventor Fights the Detroit Goliaths,2008-10-02,2008-10-03
185,Allah Made Me Funny,,0,LAURA KERN,Comedy With a Mission,2008-10-02,
186,Beverly Hills Chihuahua,PG,0,NATHAN LEE,Barking With Bite,2008-10-02,2008-10-03
187,Blindness,R,0,A. O. SCOTT,Characters Who Learn to See by Falling Into a World Without Sight,2008-10-02,2008-10-03
188,Ballast,Not Rated,1,MANOHLA DARGIS,Catching the Heartbeat and Fragmented Poetry of the Delta,2008-09-30,
189,Religulous,R,0,STEPHEN HOLDEN,"Believers, Skeptics and a Pool of Sitting Ducks",2008-09-30,2008-10-03
190,Smother,PG-13,0,NATHAN LEE,"Juggling Spouse and Parent, Painfully",2008-09-26,
191,Fireproof,PG,0,NEIL GENZLINGER,"Putting Out House Fires, Reigniting Passions",2008-09-26,2008-09-26
192,Eagle Eye,PG-13,0,A. O. SCOTT,On the Run From Terrorists and a Disembodied Voice,2008-09-26,2008-09-26
193,Wild Combination: A Portrait of Arthur Russell,,1,NATHAN LEE,Strange and Soulful Music,2008-09-25,2008-09-26
194,The Class,PG-13,1,MANOHLA DARGIS,Learning to Be the Future of France,2008-09-25,2009-03-13
195,Boogie Man: The Lee Atwater Story,,1,JEANNETTE CATSOULIS,Layers of Political Strategy,2008-09-25,2008-09-26
196,Shoot on Sight,R,0,JEANNETTE CATSOULIS,Conflict in Britain,2008-09-25,
197,Ripple Effect,R,0,NEIL GENZLINGER,Making Cosmic Waves,2008-09-25,
198,Obscene,,0,JEANNETTE CATSOULIS,Classically Dirty,2008-09-25,
199,Forever Strong,PG-13,0,By JEANNETTE CATSOULIS NATHAN LEE  NEIL GENZLINGER   LAURA KERN,Sports Therapy,2008-09-25,2008-09-26
200,Nights in Rodanthe,PG-13,0,MANOHLA DARGIS,"Big Storm Is Brewing (Hurricane, Too)",2008-09-25,2008-09-26
201,The Amazing Truth About Queen Raquela,R,0,NEIL GENZLINGER,Tales of a Filipino Ladyboy,2008-09-25,
202,Miracle at St. Anna,R,0,A. O. SCOTT,"Hollywood War, Revised Edition",2008-09-25,2008-09-26
203,The Lucky Ones,R,0,LAURA KERN,Surprises and Epiphanies for Soldiers on a Road Trip,2008-09-25,2008-09-26
204,Choke,R,0,STEPHEN HOLDEN,Heimlich Maneuvers on the Way to Self,2008-09-25,2008-09-26
205,Silent Light,,1,MANOHLA DARGIS,Into the Mennonite World to Explore One Man’s Test of Faith,2008-09-23,
206,The Man From London,,0,NATHAN LEE,"Slowly, Slowly in the Fog to Noir, via Simenon",2008-09-21,
207,My Best Friend's Girl,R,0,LAURA KERN,Triangle With Crude Sides,2008-09-19,2008-09-19
208,Taking Father Home,,1,JEANNETTE CATSOULIS,A City in Flux,2008-09-18,2008-09-19
209,Ghost Town,PG-13,1,STEPHEN HOLDEN,His Task: Help Strangers Die Happily Ever After,2008-09-18,2008-09-19
210,Battle in Seattle,R,0,STEPHEN HOLDEN,When Worlds Collided by Puget Sound,2008-09-18,
211,Quilombo Country,,0,LAURA KERN,State of the Village,2008-09-18,
212,A Thousand Years of Good Prayers,Not Rated,0,NATHAN LEE,Friends and Family,2008-09-18,
213,Hounddog,R,0,JEANNETTE CATSOULIS,"Dreaming of Elvis, Living a Nightmare",2008-09-18,
214,Fraulein,,0,JEANNETTE CATSOULIS,Three Disparate (and Desperate) Women,2008-09-18,
215,Amexicano,PG-13,0,LAURA KERN,Relationships Beyond Borders,2008-09-18,
216,Lakeview Terrace,PG-13,0,A. O. SCOTT,"Lurking in the Shadows of Suburbia, a Menacing Neighbor With a Gun",2008-09-18,2008-09-19
217,Igor,PG,0,JEANNETTE CATSOULIS,A Frankenstein Tale With a Twist,2008-09-18,2008-09-19
218,Elite Squad,R,0,MANOHLA DARGIS,At Home in a War Zone,2008-09-18,
219,The Duchess,PG-13,0,MANOHLA DARGIS,"Georgiana and Her Dull, Dallying Duke",2008-09-18,2008-10-10
220,Appaloosa,R,0,A. O. SCOTT,Gunman Meets Widow. Trouble Starts.,2008-09-18,2008-10-03
221,Pierre Rissient: Man of Cinema,,0,NATHAN LEE,A Fan and Advocate of Films Becomes the Subject of One,2008-09-17,
222,Tyler Perry's The Family That Preys,PG-13,0,STEPHEN HOLDEN,Money Isn’t Everything When Values Are at Stake,2008-09-12,2008-09-12
223,Flow,,1,JEANNETTE CATSOULIS,The War Between Public Health and Private Interests,2008-09-11,
224,The Little Red Truck,PG,1,NATHAN LEE,Small Eyes on the Big Stage,2008-09-11,
225,Moving Midway,,1,A. O. SCOTT,"Packing Up the Plantation and Finding Distant, Unexpected Connections",2008-09-11,
226,Towelhead,R,0,STEPHEN HOLDEN,Culture Wars Waged in Suburban Bedrooms,2008-09-11,2008-09-26
227,Loins of Punjab Presents,,0,NATHAN LEE,Sociocultural Commentary...and Singing!,2008-09-11,
228,Greetings From the Shore,R,0,NEIL GENZLINGER,Waves of Emotion,2008-09-11,
229,Forgiveness,Not Rated,0,JEANNETTE CATSOULIS,Ghost Story and Group Therapy,2008-09-11,
230,The Women,PG-13,0,A. O. SCOTT,"Catfights and Class Struggles, but Not at Katz’s Deli",2008-09-11,2008-09-12
231,Secrecy,,0,NATHAN LEE,A History Lesson and a Call to Arms,2008-09-11,2008-09-12
232,Righteous Kill,R,0,MANOHLA DARGIS,"For Two Movie Titans, a Long-Awaited Clash",2008-09-11,2008-09-12
233,Burn After Reading,R,0,MANOHLA DARGIS,Coens Ask the C.I.A. for a License to Laugh,2008-09-11,2008-09-12
234,The Last Hit Man,,0,JEANNETTE CATSOULIS,"A Conspiracy Theorist, Closing in on That Smoking Gun",2008-09-10,0000-00-00
235,Bangkok Dangerous,R,0,NATHAN LEE,An Assassin Arrives to Turn Off the Lights,2008-09-05,2008-09-05
236,The Secret,,1,A. O. SCOTT,A Jewish Family Caught in War’s Ebb and Flow,2008-09-04,
237,Save Me,,0,NATHAN LEE,Going Straight to Church,2008-09-04,
238,Ping Pong Playa,PG-13,0,NATHAN LEE,Hip-Hop With Paddles,2008-09-04,
