,title,rating,pick_or_not,byline,headline,pub_date,open_date
54,The Quiet One,,0,GLENN KENNY,"‘The Quiet One’ Review: Bill Wyman Opens His Archives, and His Mouth",2019-06-20,2019-06-21
55,Burn Your Maps,PG-13,0,TEO BUGBEE,‘Burn Your Maps’ Review: The Mongolian Steppes as a Stage for Grief,2019-06-20,0000-00-00
56,The Extraordinary Journey of the Fakir,PG-13,0,BEN KENIGSBERG,"‘The Extraordinary Journey of the Fakir’ Review: A Bustling, Whimsical Voyage",2019-06-20,2019-06-20
57,Wild Rose,R,0,BEN KENIGSBERG,‘Wild Rose’ Review: A Glaswegian Singer Walks the Line,2019-06-20,2019-06-21
58,The Command,PG-13,0,BILGE EBIRI,‘The Command’ Review: A Real-Life Submarine Tragedy Gets the Big Screen Treatment,2019-06-20,2019-06-21
59,Billboard,,0,GLENN KENNY,‘Billboard’ Review: An Underdog Story Misses the Mark,2019-06-20,2019-04-05
60,Toni Morrison: The Pieces I Am,PG-13,0,A.O. SCOTT,Review: ‘Toni Morrison: The Pieces I Am’ Basks in the Presence of a Beloved Writer,2019-06-19,2019-06-21
61,Edge of Democracy,,1,A.O. SCOTT,Review: ‘Edge of Democracy’ Looks at Brazil With Outrage and Heartbreak,2019-06-18,2019-06-19
62,Murder Mystery,PG-13,0,ELISABETH VINCENTELLI,‘Murder Mystery’ Review: A Whodunit on the High Seas,2019-06-14,2019-06-14
63,Blue Note Records: Beyond the Notes,,1,GLENN KENNY,"‘Blue Note Records’ Review: A Smart, Exhilarating Look at an Influential Label",2019-06-13,2019-06-14
64,Our Time,,1,GLENN KENNY,‘Our Time’ Review: An Enthralling and Exasperating Take on Infidelity,2019-06-13,2019-06-14
65,Hampstead,PG-13,1,BILGE EBIRI,‘Hampstead’ Review: A Low-Key and Lively Look at an Unlikely Romance,2019-06-13,2019-06-14
66,The Dead Don't Die,R,0,A.O. SCOTT,‘The Dead Don’t Die’ Review: Zombies Gobbling Up Scraps of Pop Culture,2019-06-13,2019-06-14
67,Shaft,R,0,A.O. SCOTT,"Review: I’m Talking About ‘Shaft.’ Yes, Again.",2019-06-13,2019-06-14
68,Plus One,Not Rated,0,BEN KENIGSBERG,‘Plus One’ Review: Navigating a Marathon of Nuptials,2019-06-13,2019-06-14
69,In the Aisles,Not Rated,0,BEN KENIGSBERG,"‘In the Aisles’ Review: A Store With Everything, Except Fulfillment",2019-06-13,2019-06-14
70,Back to the Fatherland,,0,KEN JAWOROWSKI,‘Back to the Fatherland’ Review: Israelis Who Look to Put History Aside,2019-06-13,2019-06-14
71,Being Frank,,0,TEO BUGBEE,‘Being Frank’ Review: An Embarrassment of Daddy Issues,2019-06-13,2019-06-14
72,American Woman,R,0,GLENN KENNY,"‘American Woman’ Review: A Considered, and Cautious, Working-Class Character Study",2019-06-13,2019-06-14
73,Daughter of the Wolf,R,0,BILGE EBIRI,"‘Daughter of the Wolf’ Review: Snow, Ice, and Dramatic Inertia",2019-06-13,2019-08-02
74,Men in Black: International,PG-13,0,MANOHLA DARGIS,‘Men in Black: International’ Review: A Case of the Blahs,2019-06-12,2019-06-14
75,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,,1,MANOHLA DARGIS,"‘Rolling Thunder’ Review: A New Ballad of Bob, Sung by Marty",2019-06-11,2019-06-12
76,The Reports on Sarah and Saleem,,0,BEN KENIGSBERG,‘The Reports on Sarah and Saleem’ Review: An Extramarital Affair With Geopolitical Implications,2019-06-11,2019-06-12
77,The Raft,,1,A.O. SCOTT,‘The Raft’ Review: A Crew of 10 Set Adrift With a Moody Svengali,2019-06-06,2019-06-07
78,The Last Black Man in San Francisco,R,1,MANOHLA DARGIS,‘The Last Black Man in San Francisco’ Review: Lost in a Dream City,2019-06-06,2019-06-07
79,Framing John DeLorean,Not Rated,1,GLENN KENNY,‘Framing John DeLorean’ Review: The Man Who Flew His Car Too Close to the Sun,2019-06-06,2019-06-07
80,Funan,,1,GLENN KENNY,"‘Funan’ Review: An Unflinching, Animated Story of Survival",2019-06-06,
81,Leto,,1,JEANNETTE CATSOULIS,‘Leto’ Review: Love and Rock in Leningrad,2019-06-06,2019-06-07
82,Alles Ist Gut,,0,SCOTT TOBIAS,"‘Alles Ist Gut’ Review: Surviving Sexual Assault, and All the Mornings After",2019-06-06,2019-06-06
83,Dark Phoenix,PG-13,0,MANOHLA DARGIS,‘Dark Phoenix’ Review: X-Women Power? Nah,2019-06-06,2019-06-07
84,Nureyev,,0,RACHEL SALTZ,‘Nureyev’ Review: His Life Was High Drama. This Film Could Use More.,2019-06-06,
85,This One's for the Ladies,NC-17,0,BEN KENIGSBERG,‘This One’s for the Ladies’ Review: Stripping to Pay the Bills,2019-06-06,2019-05-01
86,Ghost Fleet,,0,BEN KENIGSBERG,‘Ghost Fleet’ Review: A Quest to End Slavery at Sea,2019-06-06,2019-06-07
87,Pavarotti,PG-13,0,KEN JAWOROWSKI,‘Pavarotti’ Review: A Charmed Life on the High C’s,2019-06-06,2019-06-07
88,Papi Chulo,R,0,TEO BUGBEE,‘Papi Chulo’ Review: Another White Person Goes on a Journey,2019-06-06,2019-06-07
89,The Black Godfather,,0,BEN KENIGSBERG,‘The Black Godfather’ Review: The Music Executive Who Made It All Happen,2019-06-06,2019-06-07
90,16 Shots,,0,KEN JAWOROWSKI,‘16 Shots’ Review: Chicago’s Rage After a Killing by the Police,2019-06-06,2019-06-14
91,Late Night,R,1,A.O. SCOTT,‘Late Night’ Review: Emma Thompson Takes On the Old Boys of Network TV,2019-06-05,2019-06-07
92,The Secret Life of Pets 2,PG,0,BILGE EBIRI,"‘The Secret Life of Pets 2’ Review: Funny, Furry and Forgettable",2019-06-05,2019-06-07
93,Joy,,0,BEN KENIGSBERG,"‘Joy’ Review: In Austria, a Nigerian Woman Finds a Life Without Hope",2019-05-31,2019-05-24
94,For the Birds,,1,TEO BUGBEE,‘For the Birds’ Review: From an Overcrowded Chicken Coop Springs Unusual Life,2019-05-30,
95,The Fall of the American Empire,R,1,GLENN KENNY,‘The Fall of the American Empire’ Review: A Satirical Take on the Crime Story,2019-05-30,2019-05-31
96,Too Late to Die Young,,0,A.O. SCOTT,"‘Too Late to Die Young’ Review: Big Changes, Quietly Observed",2019-05-30,2019-05-31
97,Echo In the Canyon,PG-13,0,HELEN T. VERONGOS,‘Echo in the Canyon’ Review: Capturing a California Musical Moment,2019-05-30,
98,Yomeddine,,0,TEO BUGBEE,‘Yomeddine’ Review: A Leprosy Survivor’s Journey Under the Desert Sun,2019-05-30,2019-05-31
99,XY Chelsea,,0,JEANNETTE CATSOULIS,‘XY Chelsea’ Review: A Whistleblower Out of Focus,2019-05-30,
100,The Image You Missed,Not Rated,0,BEN KENIGSBERG,‘The Image You Missed’ Review: From Son to Father and Filmmaker to Filmmaker,2019-05-30,2019-05-31
101,The Spy Behind Home Plate,Not Rated,0,KEN JAWOROWSKI,"‘The Spy Behind Home Plate’ Review: Play Ball, Fight Nazis",2019-05-30,2019-05-24
102,The Russian Five,Not Rated,0,KEN JAWOROWSKI,"‘The Russian Five’ Review: Out of the Iron Curtain, Onto the Ice",2019-05-30,
103,Domino,R,0,GLENN KENNY,"‘Domino’ Review: All Voyeurism, All the Time",2019-05-30,2019-05-31
104,Ma,R,0,A.O. SCOTT,"‘Ma’ Review: Octavia Spencer Serves Up Liquor, Terror and a Killer Performance",2019-05-29,2019-05-31
105,Always Be My Maybe,PG-13,0,JEANNETTE CATSOULIS,"‘Always Be My Maybe’ Review: Romance, Food and Fame Through a Sitcom Lens",2019-05-29,2019-05-31
106,Rocketman,R,1,A.O. SCOTT,"‘Rocketman’ Review: The Fantastical Tale of Elton John, Survivor, Rock God, Camp Icon",2019-05-28,2019-05-31
107,"Leaving Home, Coming Home: A Portrait of Robert Frank",,1,GLENN KENNY,"Review: In ‘Leaving Home, Coming Home,’ Robert Frank Recounts His Career",2019-05-28,
108,Godzilla: King of the Monsters,PG-13,0,GLENN KENNY,"‘Godzilla: King of the Monsters’ Review: For Once, the Title Says It All",2019-05-28,2019-05-31
109,The Perfection,,0,JASON BAILEY,‘The Perfection’ Review: A Thriller in the Key of Crazy,2019-05-24,2019-05-24
110,Barbara Rubin and the Exploding NY Underground,,1,GLENN KENNY,‘Barbara Rubin’ Review: An Overlooked Filmmaker Gets Her Due,2019-05-23,2019-05-24
111,Diamantino,,1,GLENN KENNY,‘Diamantino’ Review: The Fairy Tale Life of a Soccer Star,2019-05-23,2019-05-24
112,The Proposal,,1,JEANNETTE CATSOULIS,"‘The Proposal’ Review: The Artist, the Architect and the Other Woman",2019-05-23,
113,Woodstock: Three Days That Defined a Generation,,1,GLENN KENNY,‘Woodstock: Three Days That Defined a Generation’ Review: A Return to 1969,2019-05-23,
114,Halston,,0,WESLEY MORRIS,‘Halston’ Review: The Designer as Unsolved Mystery,2019-05-23,2019-05-24
115,Brightburn,R,0,A.O. SCOTT,‘Brightburn’ Review: What if He Doesn’t Use His Powers for Good?,2019-05-23,2019-05-24
116,Q Ball,,0,JEANNETTE CATSOULIS,‘Q Ball’ Review: Shooting Hoops While Doing Time,2019-05-23,2019-05-17
117,Booksmart,R,1,A.O. SCOTT,Review: ‘Booksmart’ Crashes the Party and Aces the Test,2019-05-22,2019-05-24
118,Aladdin,PG,0,A.O. SCOTT,‘Aladdin’ Review: This Is Not What You Wished For,2019-05-22,2019-05-24
119,The Tomorrow Man,PG-13,0,JEANNETTE CATSOULIS,‘The Tomorrow Man’ Review: Love Among the Neuroses,2019-05-21,2019-05-22
120,See You Yesterday,,0,CANDICE FREDERICK,‘See You Yesterday’ Review: An All-Too-Real Time-Travel Fantasy,2019-05-17,2019-05-17
121,The Souvenir,R,1,A.O. SCOTT,‘The Souvenir’ Review: A Great Movie About a Bad Boyfriend,2019-05-16,2019-05-17
122,All Creatures Here Below,,1,JEANNETTE CATSOULIS,‘All Creatures Here Below’ Review: A Runaway Couple in Crisis,2019-05-16,
123,Asako I & II,Not Rated,1,GLENN KENNY,‘Asako I & II’ Review: Double the Love (and the Heartbreak),2019-05-16,
124,John Wick: Chapter 3 — Parabellum,R,0,JEANNETTE CATSOULIS,‘John Wick: Chapter 3’ Review: Keanu Reeves Is Back for Another Brutal Round,2019-05-16,2019-05-17
125,Walking on Water,,0,KEN JAWOROWSKI,"‘Walking on Water’ Review: The Artist Christo Thinks Big, as Usual",2019-05-16,
126,Trial by Fire,R,0,GLENN KENNY,‘Trial by Fire’ Review: A Strong Case Against the Death Penalty,2019-05-16,2019-05-17
127,The Professor,R,0,BEN KENIGSBERG,‘The Professor’ Review: The Lessons He Learns Along the Way,2019-05-16,2019-05-17
128,Photograph,PG-13,0,AISHA HARRIS,‘Photograph’ Review: A Rom-Com Walks the Streets of Mumbai,2019-05-16,2019-05-17
129,We Have Always Lived in the Castle,,0,JENNIFER SZALAI,"‘We Have Always Lived in the Castle’ Review: An Arch, Feminist Fairy Tale",2019-05-16,2019-05-17
130,Aniara,R,0,TEO BUGBEE,‘Aniara’ Review: A One-Way Ticket Into the Abyss,2019-05-16,2019-05-17
131,Perfect,,0,JEANNETTE CATSOULIS,‘Perfect’ Review: Beyond Skin Deep,2019-05-16,2019-05-17
132,A Dog's Journey,PG,0,GLENN KENNY,‘A Dog’s Journey’ Review: Good Boys (and Girls) on a Mission,2019-05-16,2019-05-17
133,The Wandering Soap Opera,,1,A.O. SCOTT,‘The Wandering Soap Opera’ Review: An Excursion Into Raúl Ruiz’s Fertile Mind,2019-05-15,2019-05-17
134,The Sun Is Also a Star,PG-13,0,A.O. SCOTT,"‘The Sun Is Also a Star’ Review: A Charming, if Generic, Adolescent Love Story",2019-05-15,2019-05-17
135,The Third Wife,R,0,A.O. SCOTT,‘The Third Wife’ Review: Cruelty and Sensuality in 19th-Century Vietnam,2019-05-14,2019-05-15
136,Shéhérazade,,0,HELEN T. VERONGOS,‘Shéhérazade’ Review: Love in the Mean Streets of Marseille,2019-05-10,
137,At the Heart of Gold: Inside the USA Gymnastics Scandal,,1,BILGE EBIRI,‘At the Heart of Gold’ Review: A Thorough Record of Sexual Abuse,2019-05-09,2019-05-03
138,Charlie Says,R,1,MANOHLA DARGIS,‘Charlie Says’ Review: Complicating Those Manson Family Values,2019-05-09,2019-05-17
139,Serengeti Rules,,1,TEO BUGBEE,‘The Serengeti Rules’ Review: Making Science Spellbinding,2019-05-09,2018-04-30
140,The Biggest Little Farm,PG,1,GLENN KENNY,‘The Biggest Little Farm’ Review: The Pleasures of D.I.Y. Agriculture,2019-05-09,2019-05-10
141,Pasolini,,1,A.O. SCOTT,‘Pasolini’ Review: One Rebellious Filmmaker’s Tribute to Another,2019-05-09,2019-05-10
142,The River and the Wall,,1,JEANNETTE CATSOULIS,‘The River and the Wall’ Review: Taking a Side on the Rio Grande,2019-05-09,2019-05-03
143,All Is True,PG-13,0,JEANNETTE CATSOULIS,"‘All Is True’ Review: Regret Is the Thing, as Shakespeare Comes Home",2019-05-09,2019-05-10
144,The Hustle,PG-13,0,A.O. SCOTT,‘The Hustle’ Review: Anne Hathaway and Rebel Wilson Hit Their Marks,2019-05-09,2019-05-10
145,Poms,PG-13,0,JEANNETTE CATSOULIS,‘POMS’ Review: Shake It Till You Make It,2019-05-09,2019-05-10
146,Pokémon Detective Pikachu,PG,0,BEN KENIGSBERG,‘Pokémon Detective Pikachu’ Review: A Cat and (Electric) Mouse Game,2019-05-09,2019-05-10
147,David Cross: Oh Come On,,0,JASON ZINOMAN,"‘David Cross: Oh, Come On’ Review: Muffled Anger Over Sentimentality",2019-05-09,2019-04-01
148,Tolkien,PG-13,0,GLENN KENNY,‘Tolkien’ Review: A Fellowship That Rings Obvious,2019-05-09,2019-05-10
149,My Son,,0,BEN KENIGSBERG,"‘My Son’ Review: When His Boy Goes Missing, a Father Unravels",2019-05-09,2019-04-12
150,Wine Country,R,0,MANOHLA DARGIS,‘Wine Country’ Review: Searching for Laughs in a Midlife Bacchanal,2019-05-07,2019-05-10
151,The Silence of Others,,0,BEN KENIGSBERG,‘The Silence of Others’ Review: Franco’s Victims Speak Out,2019-05-07,2019-05-08
152,Long Shot,R,1,MANOHLA DARGIS,‘Long Shot’ Review: Charlize Theron and Seth Rogen Give Good Heart,2019-05-02,2019-05-03
153,Meeting Gorbachev,,1,BEN KENIGSBERG,‘Meeting Gorbachev’ Review: Sitting Down With the Last Soviet Leader,2019-05-02,
154,Hesburgh,,1,GLENN KENNY,‘Hesburgh’ Review: A Portrait of a Heroic and Scandal-Free Catholic Priest,2019-05-02,2019-05-03
155,Shadow,,1,GLENN KENNY,‘Shadow’ Review: A Bleak World Splashed With Red,2019-05-02,
156,A Fortunate Man,,0,BEN KENIGSBERG,‘A Fortunate Man’ Review: A Danish Engineer Strives for Success,2019-05-02,
157,The Intruder,PG-13,0,A.O. SCOTT,‘The Intruder’ Review: Dennis Quaid as a Homeowner’s Nightmare,2019-05-02,2019-05-03
158,The Convent,,0,JEANNETTE CATSOULIS,‘The Convent’ Review: Twisted Sisters,2019-05-02,
159,"Extremely Wicked, Shockingly Evil, and Vile",R,0,JEANNETTE CATSOULIS,"‘Extremely Wicked, Shockingly Evil and Vile’ Review: Killing Me Softly",2019-05-02,2019-05-03
160,Fast Color,PG-13,1,JEANNETTE CATSOULIS,‘Fast Color’ Review: Can a Gifted Family Save a Parched World?,2019-04-18,2019-04-19
161,Grass,,1,GLENN KENNY,‘Grass’ Review: Eavesdropping in the Coffee Shop With Hong Sang-soo,2019-04-18,
162,The Curse of La Llorona,R,0,MANOHLA DARGIS,"‘The Curse of La Llorona’ Review: California Freakin’, With Scares, Laughs and a Murderous Ghost",2019-04-18,2019-04-19
163,Someone Great,R,0,KAREN HAN,"‘Someone Great’ Review: After a Breakup, One Last Night on the Town",2019-04-18,2019-04-19
164,The Man Who Killed Don Quixote,Not Rated,0,A.O. SCOTT,Review: ‘The Man Who Killed Don Quixote’ Brings Him Back to Life,2019-04-18,
165,Naples in Veils,,0,BEN KENIGSBERG,‘Naples in Veils’: A Morgue Doctor Is Obsessed. The Movie Is Lifeless.,2019-04-18,2019-04-19
166,Little Woods,R,0,MANOHLA DARGIS,‘Little Woods’ Review: Life Is Thicker Than Blood,2019-04-18,2019-04-19
167,Rafiki,,0,BEN KENIGSBERG,"‘Rafiki’ Review: Falling in Love, Illegally",2019-04-18,2019-04-19
168,Stuck,PG-13,0,GLENN KENNY,‘Stuck’ Review: A Movie Musical Set in a Subway Car? Stand Clear.,2019-04-18,2019-04-19
169,Red Joan,R,0,JEANNETTE CATSOULIS,"‘Red Joan’ Review: I Spy, Reluctantly",2019-04-18,
170,Family,R,0,JEANNETTE CATSOULIS,‘Family’ Review: Better Living Through Childcare,2019-04-18,2019-04-19
171,Instant Dreams,,0,GLENN KENNY,‘Instant Dreams’ Review: Polaroid’s Too-Secret Ingredient,2019-04-18,
172,Under the Silver Lake,R,0,A.O. SCOTT,‘Under the Silver Lake’ Review: Andrew Garfield Gets Lost in a Haze of Pop-Culture Allusions,2019-04-17,2019-04-19
173,Homecoming,,0,AISHA HARRIS,Beyoncé the Creator: ‘Homecoming’ Review,2019-04-17,2019-04-17
174,Hail Satan?,R,1,BEN KENIGSBERG,"‘Hail Satan?’ Review: Pitchforks, Black Clothes and Good Deeds",2019-04-16,2019-04-17
175,Penguins,G,0,TEO BUGBEE,‘Penguins’ Review: A Nature Documentary Veers Into Fairy Tale,2019-04-16,2019-04-17
176,Breakthrough,PG,1,BILGE EBIRI,"‘Breakthrough’ Review: A Remarkable Story of Survival, Told Through a Religious Lens",2019-04-15,2019-04-17
177,Guava Island,,0,JASON BAILEY,‘Guava Island’ Review: Donald Glover’s Island Getaway Is a Casual Charmer,2019-04-13,2019-04-13
178,The Silence,PG-13,0,SCOTT TOBIAS,‘The Silence’ Review: Fleeing Winged Peril for a Quieter Place,2019-04-12,2019-04-10
179,Master Z: Ip Man Legacy,,1,GLENN KENNY,‘Master Z: Ip Man Legacy’ Review: A Martial Arts Master Roams Free,2019-04-11,2019-04-12
180,Alita: Battle Angel,PG-13,0,MANOHLA DARGIS,‘Alita: Battle Angel’ Review: Do Female Cyborgs Dream of Breasts?,2019-02-12,2019-02-14
181,Isn't It Romantic,PG-13,0,BEN KENIGSBERG,"‘Isn’t It Romantic’ Review: Rebel Wilson Mocks, and Obeys, Rom-Com Rules",2019-02-12,2019-02-13
182,High Flying Bird,,1,A.O. SCOTT,‘High Flying Bird’ Review: A Thrilling Dunk on Capitalism,2019-02-07,2019-02-08
183,One Million American Dreams,,1,GLENN KENNY,‘One Million American Dreams’ Review: Stories From New York’s Potter’s Field,2019-02-07,2019-02-08
184,What Men Want,R,0,BEN KENIGSBERG,"‘What Men Want’ Review: A Mind-Reading Woman Flips the Script, Sort of",2019-02-07,2019-02-08
185,To Dust,R,0,WESLEY MORRIS,"‘To Dust’ Review: Death, Decay and Grief Wrapped in a Buddy Movie",2019-02-07,2019-02-08
186,The Prodigy,R,0,JEANNETTE CATSOULIS,"‘The Prodigy’ Review: Evil Genius, Average Horror",2019-02-07,2019-02-08
187,Under the Eiffel Tower,,0,BEN KENIGSBERG,"‘Under the Eiffel Tower’ Review: In Whine, Truth",2019-02-07,2019-02-08
188,"Berlin, I Love You",R,0,GLENN KENNY,"‘Berlin, I Love You’ Review: Many Stories, Not Much Feeling",2019-02-07,2019-02-08
189,The Man Who Killed Hitler and Then The Bigfoot,Not Rated,0,BEN KENIGSBERG,‘The Man Who Killed Hitler and Then the Bigfoot’ Review: Nuff Said,2019-02-07,2019-02-08
190,The Gospel of Eureka,,0,JEANNETTE CATSOULIS,‘The Gospel of Eureka’ Review: Christianity and Queerness Intersect in a Small Town,2019-02-07,2019-02-08
191,Untogether,R,0,JEANNETTE CATSOULIS,"‘Untogether’ Review: Adrift in Los Angeles, Looking for Love",2019-02-07,2019-02-08
192,The Oscar Nominated Short Films 2019: Animation,,1,BILGE EBIRI,"‘The 2019 Oscar Nominated Short Films’ Review: Heartbreak, Abbreviated",2019-02-06,
193,The Oscar Nominated Short Films 2019: Documentary,,1,BILGE EBIRI,"‘The 2019 Oscar Nominated Short Films’ Review: Heartbreak, Abbreviated",2019-02-06,
