,byline,headline,open_date,pick_or_not,pub_date,rating,title
46,MANOHLA DARGIS,‘Maiden’ Review: Racing Toward Equality,2019-06-28,0,2019-06-26,PG,Maiden
47,A.O. SCOTT,"‘The Chambermaid’ Review: Amid Luxury, an Entrancing Drudgery",2019-06-26,1,2019-06-25,,The Chambermaid
48,JEANNETTE CATSOULIS,‘Annabelle Comes Home’ Review: An Evil Doll Returns and She’s Not Alone,2019-06-26,0,2019-06-24,R,Annabelle Comes Home
49,BILGE EBIRI,‘Anna’ Review: a Curiously Familiar Female Assassin,2019-06-21,0,2019-06-21,R,Anna
50,JASON BAILEY,‘Starfish’ Review: A Sci-Fi Mystery Shrouded in Grief,2019-03-15,0,2019-06-20,,Starfish
51,MANOHLA DARGIS,‘Endzeit’ Review: Once Upon a Zombie Apocalypse,2019-06-21,0,2019-06-20,,Endzeit
52,BEN KENIGSBERG,‘Child’s Play’ Review: A Robot Chucky Goes Rogue in a Soulless Remake,2019-06-21,0,2019-06-20,R,Child's Play
53,MANOHLA DARGIS,‘Toy Story 4’ Review: Playtime’s Over,2019-06-21,0,2019-06-20,G,Toy Story 4
54,GLENN KENNY,"‘The Quiet One’ Review: Bill Wyman Opens His Archives, and His Mouth",2019-06-21,0,2019-06-20,,The Quiet One
55,TEO BUGBEE,‘Burn Your Maps’ Review: The Mongolian Steppes as a Stage for Grief,0000-00-00,0,2019-06-20,PG-13,Burn Your Maps
56,BEN KENIGSBERG,"‘The Extraordinary Journey of the Fakir’ Review: A Bustling, Whimsical Voyage",2019-06-20,0,2019-06-20,PG-13,The Extraordinary Journey of the Fakir
57,BEN KENIGSBERG,‘Wild Rose’ Review: A Glaswegian Singer Walks the Line,2019-06-21,0,2019-06-20,R,Wild Rose
58,BILGE EBIRI,‘The Command’ Review: A Real-Life Submarine Tragedy Gets the Big Screen Treatment,2019-06-21,0,2019-06-20,PG-13,The Command
59,GLENN KENNY,‘Billboard’ Review: An Underdog Story Misses the Mark,2019-04-05,0,2019-06-20,,Billboard
60,A.O. SCOTT,Review: ‘Toni Morrison: The Pieces I Am’ Basks in the Presence of a Beloved Writer,2019-06-21,0,2019-06-19,PG-13,Toni Morrison: The Pieces I Am
61,A.O. SCOTT,Review: ‘Edge of Democracy’ Looks at Brazil With Outrage and Heartbreak,2019-06-19,1,2019-06-18,,Edge of Democracy
62,ELISABETH VINCENTELLI,‘Murder Mystery’ Review: A Whodunit on the High Seas,2019-06-14,0,2019-06-14,PG-13,Murder Mystery
63,GLENN KENNY,"‘Blue Note Records’ Review: A Smart, Exhilarating Look at an Influential Label",2019-06-14,1,2019-06-13,,Blue Note Records: Beyond the Notes
64,GLENN KENNY,‘Our Time’ Review: An Enthralling and Exasperating Take on Infidelity,2019-06-14,1,2019-06-13,,Our Time
65,BILGE EBIRI,‘Hampstead’ Review: A Low-Key and Lively Look at an Unlikely Romance,2019-06-14,1,2019-06-13,PG-13,Hampstead
66,A.O. SCOTT,‘The Dead Don’t Die’ Review: Zombies Gobbling Up Scraps of Pop Culture,2019-06-14,0,2019-06-13,R,The Dead Don't Die
67,A.O. SCOTT,"Review: I’m Talking About ‘Shaft.’ Yes, Again.",2019-06-14,0,2019-06-13,R,Shaft
68,BEN KENIGSBERG,‘Plus One’ Review: Navigating a Marathon of Nuptials,2019-06-14,0,2019-06-13,Not Rated,Plus One
69,BEN KENIGSBERG,"‘In the Aisles’ Review: A Store With Everything, Except Fulfillment",2019-06-14,0,2019-06-13,Not Rated,In the Aisles
70,KEN JAWOROWSKI,‘Back to the Fatherland’ Review: Israelis Who Look to Put History Aside,2019-06-14,0,2019-06-13,,Back to the Fatherland
71,TEO BUGBEE,‘Being Frank’ Review: An Embarrassment of Daddy Issues,2019-06-14,0,2019-06-13,,Being Frank
72,GLENN KENNY,"‘American Woman’ Review: A Considered, and Cautious, Working-Class Character Study",2019-06-14,0,2019-06-13,R,American Woman
73,BILGE EBIRI,"‘Daughter of the Wolf’ Review: Snow, Ice, and Dramatic Inertia",2019-08-02,0,2019-06-13,R,Daughter of the Wolf
74,MANOHLA DARGIS,‘Men in Black: International’ Review: A Case of the Blahs,2019-06-14,0,2019-06-12,PG-13,Men in Black: International
75,MANOHLA DARGIS,"‘Rolling Thunder’ Review: A New Ballad of Bob, Sung by Marty",2019-06-12,1,2019-06-11,,Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese
76,BEN KENIGSBERG,‘The Reports on Sarah and Saleem’ Review: An Extramarital Affair With Geopolitical Implications,2019-06-12,0,2019-06-11,,The Reports on Sarah and Saleem
77,A.O. SCOTT,‘The Raft’ Review: A Crew of 10 Set Adrift With a Moody Svengali,2019-06-07,1,2019-06-06,,The Raft
78,MANOHLA DARGIS,‘The Last Black Man in San Francisco’ Review: Lost in a Dream City,2019-06-07,1,2019-06-06,R,The Last Black Man in San Francisco
79,GLENN KENNY,‘Framing John DeLorean’ Review: The Man Who Flew His Car Too Close to the Sun,2019-06-07,1,2019-06-06,Not Rated,Framing John DeLorean
80,GLENN KENNY,"‘Funan’ Review: An Unflinching, Animated Story of Survival",,1,2019-06-06,,Funan
81,JEANNETTE CATSOULIS,‘Leto’ Review: Love and Rock in Leningrad,2019-06-07,1,2019-06-06,,Leto
82,SCOTT TOBIAS,"‘Alles Ist Gut’ Review: Surviving Sexual Assault, and All the Mornings After",2019-06-06,0,2019-06-06,,Alles Ist Gut
83,MANOHLA DARGIS,‘Dark Phoenix’ Review: X-Women Power? Nah,2019-06-07,0,2019-06-06,PG-13,Dark Phoenix
84,RACHEL SALTZ,‘Nureyev’ Review: His Life Was High Drama. This Film Could Use More.,,0,2019-06-06,,Nureyev
85,BEN KENIGSBERG,‘This One’s for the Ladies’ Review: Stripping to Pay the Bills,2019-05-01,0,2019-06-06,NC-17,This One's for the Ladies
86,BEN KENIGSBERG,‘Ghost Fleet’ Review: A Quest to End Slavery at Sea,2019-06-07,0,2019-06-06,,Ghost Fleet
87,KEN JAWOROWSKI,‘Pavarotti’ Review: A Charmed Life on the High C’s,2019-06-07,0,2019-06-06,PG-13,Pavarotti
88,TEO BUGBEE,‘Papi Chulo’ Review: Another White Person Goes on a Journey,2019-06-07,0,2019-06-06,R,Papi Chulo
89,BEN KENIGSBERG,‘The Black Godfather’ Review: The Music Executive Who Made It All Happen,2019-06-07,0,2019-06-06,,The Black Godfather
90,KEN JAWOROWSKI,‘16 Shots’ Review: Chicago’s Rage After a Killing by the Police,2019-06-14,0,2019-06-06,,16 Shots
91,A.O. SCOTT,‘Late Night’ Review: Emma Thompson Takes On the Old Boys of Network TV,2019-06-07,1,2019-06-05,R,Late Night
92,BILGE EBIRI,"‘The Secret Life of Pets 2’ Review: Funny, Furry and Forgettable",2019-06-07,0,2019-06-05,PG,The Secret Life of Pets 2
93,BEN KENIGSBERG,"‘Joy’ Review: In Austria, a Nigerian Woman Finds a Life Without Hope",2019-05-24,0,2019-05-31,,Joy
94,TEO BUGBEE,‘For the Birds’ Review: From an Overcrowded Chicken Coop Springs Unusual Life,,1,2019-05-30,,For the Birds
95,GLENN KENNY,‘The Fall of the American Empire’ Review: A Satirical Take on the Crime Story,2019-05-31,1,2019-05-30,R,The Fall of the American Empire
96,A.O. SCOTT,"‘Too Late to Die Young’ Review: Big Changes, Quietly Observed",2019-05-31,0,2019-05-30,,Too Late to Die Young
97,HELEN T. VERONGOS,‘Echo in the Canyon’ Review: Capturing a California Musical Moment,,0,2019-05-30,PG-13,Echo In the Canyon
98,TEO BUGBEE,‘Yomeddine’ Review: A Leprosy Survivor’s Journey Under the Desert Sun,2019-05-31,0,2019-05-30,,Yomeddine
99,JEANNETTE CATSOULIS,‘XY Chelsea’ Review: A Whistleblower Out of Focus,,0,2019-05-30,,XY Chelsea
100,BEN KENIGSBERG,‘The Image You Missed’ Review: From Son to Father and Filmmaker to Filmmaker,2019-05-31,0,2019-05-30,Not Rated,The Image You Missed
101,KEN JAWOROWSKI,"‘The Spy Behind Home Plate’ Review: Play Ball, Fight Nazis",2019-05-24,0,2019-05-30,Not Rated,The Spy Behind Home Plate
102,KEN JAWOROWSKI,"‘The Russian Five’ Review: Out of the Iron Curtain, Onto the Ice",,0,2019-05-30,Not Rated,The Russian Five
103,GLENN KENNY,"‘Domino’ Review: All Voyeurism, All the Time",2019-05-31,0,2019-05-30,R,Domino
104,A.O. SCOTT,"‘Ma’ Review: Octavia Spencer Serves Up Liquor, Terror and a Killer Performance",2019-05-31,0,2019-05-29,R,Ma
105,JEANNETTE CATSOULIS,"‘Always Be My Maybe’ Review: Romance, Food and Fame Through a Sitcom Lens",2019-05-31,0,2019-05-29,PG-13,Always Be My Maybe
106,A.O. SCOTT,"‘Rocketman’ Review: The Fantastical Tale of Elton John, Survivor, Rock God, Camp Icon",2019-05-31,1,2019-05-28,R,Rocketman
107,GLENN KENNY,"Review: In ‘Leaving Home, Coming Home,’ Robert Frank Recounts His Career",,1,2019-05-28,,"Leaving Home, Coming Home: A Portrait of Robert Frank"
108,GLENN KENNY,"‘Godzilla: King of the Monsters’ Review: For Once, the Title Says It All",2019-05-31,0,2019-05-28,PG-13,Godzilla: King of the Monsters
109,JASON BAILEY,‘The Perfection’ Review: A Thriller in the Key of Crazy,2019-05-24,0,2019-05-24,,The Perfection
110,GLENN KENNY,‘Barbara Rubin’ Review: An Overlooked Filmmaker Gets Her Due,2019-05-24,1,2019-05-23,,Barbara Rubin and the Exploding NY Underground
111,GLENN KENNY,‘Diamantino’ Review: The Fairy Tale Life of a Soccer Star,2019-05-24,1,2019-05-23,,Diamantino
112,JEANNETTE CATSOULIS,"‘The Proposal’ Review: The Artist, the Architect and the Other Woman",,1,2019-05-23,,The Proposal
113,GLENN KENNY,‘Woodstock: Three Days That Defined a Generation’ Review: A Return to 1969,,1,2019-05-23,,Woodstock: Three Days That Defined a Generation
114,WESLEY MORRIS,‘Halston’ Review: The Designer as Unsolved Mystery,2019-05-24,0,2019-05-23,,Halston
115,A.O. SCOTT,‘Brightburn’ Review: What if He Doesn’t Use His Powers for Good?,2019-05-24,0,2019-05-23,R,Brightburn
116,JEANNETTE CATSOULIS,‘Q Ball’ Review: Shooting Hoops While Doing Time,2019-05-17,0,2019-05-23,,Q Ball
117,A.O. SCOTT,Review: ‘Booksmart’ Crashes the Party and Aces the Test,2019-05-24,1,2019-05-22,R,Booksmart
118,A.O. SCOTT,‘Aladdin’ Review: This Is Not What You Wished For,2019-05-24,0,2019-05-22,PG,Aladdin
119,JEANNETTE CATSOULIS,‘The Tomorrow Man’ Review: Love Among the Neuroses,2019-05-22,0,2019-05-21,PG-13,The Tomorrow Man
120,CANDICE FREDERICK,‘See You Yesterday’ Review: An All-Too-Real Time-Travel Fantasy,2019-05-17,0,2019-05-17,,See You Yesterday
121,A.O. SCOTT,‘The Souvenir’ Review: A Great Movie About a Bad Boyfriend,2019-05-17,1,2019-05-16,R,The Souvenir
122,JEANNETTE CATSOULIS,‘All Creatures Here Below’ Review: A Runaway Couple in Crisis,,1,2019-05-16,,All Creatures Here Below
123,GLENN KENNY,‘Asako I & II’ Review: Double the Love (and the Heartbreak),,1,2019-05-16,Not Rated,Asako I & II
124,JEANNETTE CATSOULIS,‘John Wick: Chapter 3’ Review: Keanu Reeves Is Back for Another Brutal Round,2019-05-17,0,2019-05-16,R,John Wick: Chapter 3 — Parabellum
125,KEN JAWOROWSKI,"‘Walking on Water’ Review: The Artist Christo Thinks Big, as Usual",,0,2019-05-16,,Walking on Water
126,GLENN KENNY,‘Trial by Fire’ Review: A Strong Case Against the Death Penalty,2019-05-17,0,2019-05-16,R,Trial by Fire
127,BEN KENIGSBERG,‘The Professor’ Review: The Lessons He Learns Along the Way,2019-05-17,0,2019-05-16,R,The Professor
128,AISHA HARRIS,‘Photograph’ Review: A Rom-Com Walks the Streets of Mumbai,2019-05-17,0,2019-05-16,PG-13,Photograph
129,JENNIFER SZALAI,"‘We Have Always Lived in the Castle’ Review: An Arch, Feminist Fairy Tale",2019-05-17,0,2019-05-16,,We Have Always Lived in the Castle
130,TEO BUGBEE,‘Aniara’ Review: A One-Way Ticket Into the Abyss,2019-05-17,0,2019-05-16,R,Aniara
131,JEANNETTE CATSOULIS,‘Perfect’ Review: Beyond Skin Deep,2019-05-17,0,2019-05-16,,Perfect
132,GLENN KENNY,‘A Dog’s Journey’ Review: Good Boys (and Girls) on a Mission,2019-05-17,0,2019-05-16,PG,A Dog's Journey
133,A.O. SCOTT,‘The Wandering Soap Opera’ Review: An Excursion Into Raúl Ruiz’s Fertile Mind,2019-05-17,1,2019-05-15,,The Wandering Soap Opera
134,A.O. SCOTT,"‘The Sun Is Also a Star’ Review: A Charming, if Generic, Adolescent Love Story",2019-05-17,0,2019-05-15,PG-13,The Sun Is Also a Star
135,A.O. SCOTT,‘The Third Wife’ Review: Cruelty and Sensuality in 19th-Century Vietnam,2019-05-15,0,2019-05-14,R,The Third Wife
136,HELEN T. VERONGOS,‘Shéhérazade’ Review: Love in the Mean Streets of Marseille,,0,2019-05-10,,Shéhérazade
137,BILGE EBIRI,‘At the Heart of Gold’ Review: A Thorough Record of Sexual Abuse,2019-05-03,1,2019-05-09,,At the Heart of Gold: Inside the USA Gymnastics Scandal
138,MANOHLA DARGIS,‘Charlie Says’ Review: Complicating Those Manson Family Values,2019-05-17,1,2019-05-09,R,Charlie Says
139,TEO BUGBEE,‘The Serengeti Rules’ Review: Making Science Spellbinding,2018-04-30,1,2019-05-09,,Serengeti Rules
140,GLENN KENNY,‘The Biggest Little Farm’ Review: The Pleasures of D.I.Y. Agriculture,2019-05-10,1,2019-05-09,PG,The Biggest Little Farm
141,A.O. SCOTT,‘Pasolini’ Review: One Rebellious Filmmaker’s Tribute to Another,2019-05-10,1,2019-05-09,,Pasolini
142,JEANNETTE CATSOULIS,‘The River and the Wall’ Review: Taking a Side on the Rio Grande,2019-05-03,1,2019-05-09,,The River and the Wall
143,JEANNETTE CATSOULIS,"‘All Is True’ Review: Regret Is the Thing, as Shakespeare Comes Home",2019-05-10,0,2019-05-09,PG-13,All Is True
144,A.O. SCOTT,‘The Hustle’ Review: Anne Hathaway and Rebel Wilson Hit Their Marks,2019-05-10,0,2019-05-09,PG-13,The Hustle
145,JEANNETTE CATSOULIS,‘POMS’ Review: Shake It Till You Make It,2019-05-10,0,2019-05-09,PG-13,Poms
146,BEN KENIGSBERG,‘Pokémon Detective Pikachu’ Review: A Cat and (Electric) Mouse Game,2019-05-10,0,2019-05-09,PG,Pokémon Detective Pikachu
147,JASON ZINOMAN,"‘David Cross: Oh, Come On’ Review: Muffled Anger Over Sentimentality",2019-04-01,0,2019-05-09,,David Cross: Oh Come On
148,GLENN KENNY,‘Tolkien’ Review: A Fellowship That Rings Obvious,2019-05-10,0,2019-05-09,PG-13,Tolkien
149,BEN KENIGSBERG,"‘My Son’ Review: When His Boy Goes Missing, a Father Unravels",2019-04-12,0,2019-05-09,,My Son
150,MANOHLA DARGIS,‘Wine Country’ Review: Searching for Laughs in a Midlife Bacchanal,2019-05-10,0,2019-05-07,R,Wine Country
151,BEN KENIGSBERG,‘The Silence of Others’ Review: Franco’s Victims Speak Out,2019-05-08,0,2019-05-07,,The Silence of Others
152,MANOHLA DARGIS,‘Long Shot’ Review: Charlize Theron and Seth Rogen Give Good Heart,2019-05-03,1,2019-05-02,R,Long Shot
153,BEN KENIGSBERG,‘Meeting Gorbachev’ Review: Sitting Down With the Last Soviet Leader,,1,2019-05-02,,Meeting Gorbachev
154,GLENN KENNY,‘Hesburgh’ Review: A Portrait of a Heroic and Scandal-Free Catholic Priest,2019-05-03,1,2019-05-02,,Hesburgh
155,GLENN KENNY,‘Shadow’ Review: A Bleak World Splashed With Red,,1,2019-05-02,,Shadow
156,BEN KENIGSBERG,‘A Fortunate Man’ Review: A Danish Engineer Strives for Success,,0,2019-05-02,,A Fortunate Man
157,A.O. SCOTT,‘The Intruder’ Review: Dennis Quaid as a Homeowner’s Nightmare,2019-05-03,0,2019-05-02,PG-13,The Intruder
158,JEANNETTE CATSOULIS,‘The Convent’ Review: Twisted Sisters,,0,2019-05-02,,The Convent
159,JEANNETTE CATSOULIS,"‘Extremely Wicked, Shockingly Evil and Vile’ Review: Killing Me Softly",2019-05-03,0,2019-05-02,R,"Extremely Wicked, Shockingly Evil, and Vile"
160,JEANNETTE CATSOULIS,‘Fast Color’ Review: Can a Gifted Family Save a Parched World?,2019-04-19,1,2019-04-18,PG-13,Fast Color
161,GLENN KENNY,‘Grass’ Review: Eavesdropping in the Coffee Shop With Hong Sang-soo,,1,2019-04-18,,Grass
162,MANOHLA DARGIS,"‘The Curse of La Llorona’ Review: California Freakin’, With Scares, Laughs and a Murderous Ghost",2019-04-19,0,2019-04-18,R,The Curse of La Llorona
163,KAREN HAN,"‘Someone Great’ Review: After a Breakup, One Last Night on the Town",2019-04-19,0,2019-04-18,R,Someone Great
164,A.O. SCOTT,Review: ‘The Man Who Killed Don Quixote’ Brings Him Back to Life,,0,2019-04-18,Not Rated,The Man Who Killed Don Quixote
165,BEN KENIGSBERG,‘Naples in Veils’: A Morgue Doctor Is Obsessed. The Movie Is Lifeless.,2019-04-19,0,2019-04-18,,Naples in Veils
166,MANOHLA DARGIS,‘Little Woods’ Review: Life Is Thicker Than Blood,2019-04-19,0,2019-04-18,R,Little Woods
167,BEN KENIGSBERG,"‘Rafiki’ Review: Falling in Love, Illegally",2019-04-19,0,2019-04-18,,Rafiki
168,GLENN KENNY,‘Stuck’ Review: A Movie Musical Set in a Subway Car? Stand Clear.,2019-04-19,0,2019-04-18,PG-13,Stuck
169,JEANNETTE CATSOULIS,"‘Red Joan’ Review: I Spy, Reluctantly",,0,2019-04-18,R,Red Joan
170,JEANNETTE CATSOULIS,‘Family’ Review: Better Living Through Childcare,2019-04-19,0,2019-04-18,R,Family
171,GLENN KENNY,‘Instant Dreams’ Review: Polaroid’s Too-Secret Ingredient,,0,2019-04-18,,Instant Dreams
172,A.O. SCOTT,‘Under the Silver Lake’ Review: Andrew Garfield Gets Lost in a Haze of Pop-Culture Allusions,2019-04-19,0,2019-04-17,R,Under the Silver Lake
173,AISHA HARRIS,Beyoncé the Creator: ‘Homecoming’ Review,2019-04-17,0,2019-04-17,,Homecoming
174,BEN KENIGSBERG,"‘Hail Satan?’ Review: Pitchforks, Black Clothes and Good Deeds",2019-04-17,1,2019-04-16,R,Hail Satan?
175,TEO BUGBEE,‘Penguins’ Review: A Nature Documentary Veers Into Fairy Tale,2019-04-17,0,2019-04-16,G,Penguins
176,BILGE EBIRI,"‘Breakthrough’ Review: A Remarkable Story of Survival, Told Through a Religious Lens",2019-04-17,1,2019-04-15,PG,Breakthrough
177,JASON BAILEY,‘Guava Island’ Review: Donald Glover’s Island Getaway Is a Casual Charmer,2019-04-13,0,2019-04-13,,Guava Island
178,SCOTT TOBIAS,‘The Silence’ Review: Fleeing Winged Peril for a Quieter Place,2019-04-10,0,2019-04-12,PG-13,The Silence
179,GLENN KENNY,‘Master Z: Ip Man Legacy’ Review: A Martial Arts Master Roams Free,2019-04-12,1,2019-04-11,,Master Z: Ip Man Legacy
180,MANOHLA DARGIS,‘Alita: Battle Angel’ Review: Do Female Cyborgs Dream of Breasts?,2019-02-14,0,2019-02-12,PG-13,Alita: Battle Angel
181,BEN KENIGSBERG,"‘Isn’t It Romantic’ Review: Rebel Wilson Mocks, and Obeys, Rom-Com Rules",2019-02-13,0,2019-02-12,PG-13,Isn't It Romantic
182,A.O. SCOTT,‘High Flying Bird’ Review: A Thrilling Dunk on Capitalism,2019-02-08,1,2019-02-07,,High Flying Bird
183,GLENN KENNY,‘One Million American Dreams’ Review: Stories From New York’s Potter’s Field,2019-02-08,1,2019-02-07,,One Million American Dreams
184,BEN KENIGSBERG,"‘What Men Want’ Review: A Mind-Reading Woman Flips the Script, Sort of",2019-02-08,0,2019-02-07,R,What Men Want
185,WESLEY MORRIS,"‘To Dust’ Review: Death, Decay and Grief Wrapped in a Buddy Movie",2019-02-08,0,2019-02-07,R,To Dust
186,JEANNETTE CATSOULIS,"‘The Prodigy’ Review: Evil Genius, Average Horror",2019-02-08,0,2019-02-07,R,The Prodigy
187,BEN KENIGSBERG,"‘Under the Eiffel Tower’ Review: In Whine, Truth",2019-02-08,0,2019-02-07,,Under the Eiffel Tower
188,GLENN KENNY,"‘Berlin, I Love You’ Review: Many Stories, Not Much Feeling",2019-02-08,0,2019-02-07,R,"Berlin, I Love You"
189,BEN KENIGSBERG,‘The Man Who Killed Hitler and Then the Bigfoot’ Review: Nuff Said,2019-02-08,0,2019-02-07,Not Rated,The Man Who Killed Hitler and Then The Bigfoot
190,JEANNETTE CATSOULIS,‘The Gospel of Eureka’ Review: Christianity and Queerness Intersect in a Small Town,2019-02-08,0,2019-02-07,,The Gospel of Eureka
191,JEANNETTE CATSOULIS,"‘Untogether’ Review: Adrift in Los Angeles, Looking for Love",2019-02-08,0,2019-02-07,R,Untogether
192,BILGE EBIRI,"‘The 2019 Oscar Nominated Short Films’ Review: Heartbreak, Abbreviated",,1,2019-02-06,,The Oscar Nominated Short Films 2019: Animation
193,BILGE EBIRI,"‘The 2019 Oscar Nominated Short Films’ Review: Heartbreak, Abbreviated",,1,2019-02-06,,The Oscar Nominated Short Films 2019: Documentary
